Source;Target;Weight
князь;бонапарт;14.0
князь;год;37.0
князь;анна;27.0
князь;павлович;19.0
князь;василий;184.0
князь;вечер;20.0
князь;граф;43.0
князь;вид;24.0
князь;выражение;35.0
князь;лицо;115.0
князь;сын;59.0
князь;место;20.0
князь;время;89.0
князь;день;59.0
князь;разговор;38.0
князь;счастие;14.0
князь;жизнь;41.0
князь;любовь;13.0
князь;человек;130.0
князь;движение;15.0
князь;голова;40.0
князь;император;16.0
князь;рука;93.0
князь;петербург;21.0
князь;общество;15.0
князь;отец;69.0
князь;война;14.0
князь;княгиня;43.0
князь;друг;40.0
князь;княжна;105.0
князь;дело;75.0
князь;слово;54.0
князь;андрей;917.0
князь;пьер;176.0
князь;глаз;69.0
князь;улыбка;36.0
князь;дорога;14.0
князь;француз;16.0
князь;борис;40.0
князь;государь;23.0
князь;минута;45.0
князь;стол;24.0
князь;жена;25.0
князь;голос;30.0
князь;дом;48.0
князь;письмо;38.0
князь;комната;47.0
князь;женщина;18.0
князь;душа;17.0
князь;сила;24.0
князь;анатоль;24.0
князь;мысль;23.0
князь;москва;26.0
князь;графиня;16.0
князь;дверь;30.0
князь;михаилович;13.0
князь;ростов;20.0
князь;нога;14.0
князь;сторона;16.0
князь;адъютант;16.0
князь;гора;26.0
князь;николай;64.0
князь;марья;65.0
князь;час;20.0
князь;брат;12.0
князь;взгляд;23.0
князь;шаг;13.0
князь;обед;20.0
князь;часть;20.0
князь;кутузов;33.0
князь;генерал;21.0
князь;армия;13.0
князь;офицер;23.0
князь;лошадь;15.0
князь;солдат;13.0
князь;багратион;81.0
князь;сражение;16.0
князь;чувство;31.0
князь;гость;18.0
князь;наташа;73.0
человек;свет;13.0
человек;князь;130.0
человек;василий;11.0
человек;движение;13.0
человек;голова;13.0
человек;петербург;15.0
человек;общество;18.0
человек;отец;20.0
человек;время;44.0
человек;сын;13.0
человек;граф;30.0
человек;москва;17.0
человек;анна;21.0
человек;павлович;13.0
человек;дом;34.0
человек;разговор;21.0
человек;мысль;17.0
человек;место;14.0
человек;пьер;83.0
человек;женщина;14.0
человек;государь;13.0
человек;год;19.0
человек;вид;37.0
человек;дело;41.0
человек;улыбка;14.0
человек;слово;18.0
человек;жизнь;57.0
человек;сила;21.0
человек;лицо;43.0
человек;андрей;73.0
человек;рука;35.0
человек;выражение;11.0
человек;друг;37.0
человек;дорога;14.0
человек;голос;13.0
человек;глаз;39.0
человек;гость;13.0
человек;нога;18.0
человек;офицер;20.0
человек;николай;12.0
человек;ростов;30.0
человек;комната;13.0
человек;марья;11.0
человек;княжна;16.0
человек;сторона;11.0
человек;изз;19.0
человек;минута;35.0
человек;душа;12.0
человек;любовь;24.0
человек;чувство;23.0
человек;день;16.0
человек;солдат;15.0
человек;кутузов;14.0
человек;лошадь;22.0
человек;бог;12.0
человек;счастие;14.0
человек;борис;18.0
человек;наташа;19.0
пьер;вид;27.0
пьер;лицо;73.0
пьер;анна;66.0
пьер;павлович;43.0
пьер;место;14.0
пьер;комната;38.0
пьер;взгляд;36.0
пьер;сторона;23.0
пьер;глаз;65.0
пьер;дом;18.0
пьер;вечер;13.0
пьер;разговор;44.0
пьер;человек;83.0
пьер;время;55.0
пьер;князь;176.0
пьер;андрей;118.0
пьер;рука;59.0
пьер;улыбка;39.0
пьер;свет;19.0
пьер;василий;34.0
пьер;отец;24.0
пьер;слово;38.0
пьер;душа;19.0
пьер;дело;38.0
пьер;минута;23.0
пьер;сила;19.0
пьер;жена;39.0
пьер;нога;13.0
пьер;женщина;17.0
пьер;друг;36.0
пьер;выражение;14.0
пьер;жизнь;33.0
пьер;сын;15.0
пьер;анатоль;26.0
пьер;мысль;23.0
пьер;дорога;12.0
пьер;общество;14.0
пьер;стол;22.0
пьер;гость;16.0
пьер;граф;47.0
пьер;безухов;18.0
пьер;петербург;29.0
пьер;москва;17.0
пьер;день;26.0
пьер;борис;16.0
пьер;ростов;17.0
пьер;голова;18.0
пьер;чувство;12.0
пьер;наташа;38.0
пьер;брат;22.0
пьер;княжна;31.0
пьер;письмо;16.0
пьер;михаилович;27.0
пьер;дверь;17.0
пьер;год;15.0
пьер;счастие;11.0
пьер;марья;28.0
андрей;лицо;75.0
андрей;князь;917.0
андрей;пьер;118.0
андрей;время;58.0
андрей;глаз;47.0
андрей;рука;58.0
андрей;улыбка;24.0
андрей;голова;17.0
андрей;человек;73.0
андрей;жена;19.0
андрей;голос;20.0
андрей;разговор;23.0
андрей;дело;29.0
андрей;вид;12.0
андрей;выражение;20.0
андрей;друг;26.0
андрей;отец;52.0
андрей;комната;26.0
андрей;слово;32.0
андрей;женщина;18.0
андрей;душа;12.0
андрей;сила;15.0
андрей;жизнь;27.0
андрей;сын;17.0
андрей;мысль;20.0
андрей;гора;18.0
андрей;день;32.0
андрей;дом;22.0
