Id;Label
князь;князь
человек;человек
пьер;пьер
андрей;андрей
лицо;лицо
рука;рука
время;время
дело;дело
глаз;глаз
ростов;ростов
граф;граф
слово;слово
наташа;наташа
княжна;княжна
голос;голос
день;день
анна;анна
дом;дом
друг;друг
минута;минута
голова;голова
марья;марья
улыбка;улыбка
офицер;офицер
государь;государь
место;место
борис;борис
сторона;сторона
николай;николай
жизнь;жизнь
отец;отец
комната;комната
год;год
лошадь;лошадь
солдат;солдат
нога;нога
разговор;разговор
сила;сила
сын;сын
вид;вид
графиня;графиня
чувство;чувство
император;император
cТest;cТest
денисов;денисов
генерал;генерал
павлович;павлович
кутузов;кутузов
plus;plus
свет;свет
москва;москва
армия;армия
княгиня;княгиня
выражение;выражение
дверь;дверь
стол;стол
письмо;письмо
шаг;шаг
мысль;мысль
comme;comme
вечер;вечер
войско;войско
звук;звук
василий;василий
жена;жена
бог;бог
француз;француз
соня;соня
часть;часть
любовь;любовь
наполеон;наполеон
душа;душа
гость;гость
дорога;дорога
общество;общество
брат;брат
петербург;петербург
анатоль;анатоль
обед;обед
безухов;безухов
женщина;женщина
мать;мать
михаилович;михаилович
тысяча;тысяча
si;si
движение;движение
бонапарт;бонапарт
сражение;сражение
адъютант;адъютант
гора;гора
счастие;счастие
положение;положение
взгляд;взгляд
багратион;багратион
война;война
изз;изз
платье;платье
деревня;деревня
командир;командир
час;час
